"proposal_name","num_particles","num_sweeps","aide_estimate","aide_stderr","num_clusters_estimate","num_clusters_stderr"
"prior",1,0,74.87167110838712,1.230382041897978,3.9274193548387095,0.25814133888010116
"optimal",1,0,23.0797064167819,0.6312081513921234,2.6451612903225805,0.16759258214090744
"prior",2,0,55.2888269271321,1.056692886863839,3.25,0.20568404675990062
"optimal",2,0,22.3201828807763,0.6115575074556359,2.935483870967742,0.18632149890749727
"prior",4,0,41.21325755360381,0.6928291788696428,3.064516129032258,0.2123087329727513
"optimal",4,0,21.1080759944277,0.476200289504939,2.7983870967741935,0.1799626380745845
"prior",10,0,30.733162827432313,0.7044053671164069,3.0725806451612905,0.19707185999978072
"optimal",10,0,19.88851483910243,0.5895441191832147,2.9838709677419355,0.18213693177254914
"prior",20,0,23.607927659733132,0.6786832294416163,3.0403225806451615,0.192434672737245
"optimal",20,0,19.31361189610862,0.46876495470238005,3.282258064516129,0.22250760878056788
"prior",40,0,20.482748766461285,0.5114753955936802,3.2983870967741935,0.22380604880915622
"optimal",40,0,16.044257042788356,0.5782989995471921,3.7419354838709675,0.22523437329584053
"prior",100,0,17.46377837162067,0.618980784277351,3.806451612903226,0.25494774032275275
"optimal",100,0,13.318304703218287,0.630244600595496,4.225806451612903,0.199277053480127
"prior",200,0,14.629107621986163,0.6102653378796952,4.653225806451613,0.236639964853782
"optimal",200,0,11.409902759843039,0.5089155985215353,4.959677419354839,0.1653101867639728
"prior",400,0,12.357970065477296,0.5851887929158206,4.709677419354839,0.2041319161105843
"optimal",400,0,8.87661756704726,0.5188690040466597,5.17741935483871,0.18107714076326414
"prior",1,1,99.9135498980751,3.176841693891286,3.7016129032258065,0.19932348166286853
"optimal",1,1,18.500639872142155,0.6679972205265909,4.629032258064516,0.24358212260035875
"prior",2,1,62.997552847642375,2.1047739509264787,3.717741935483871,0.22456078992151934
"optimal",2,1,14.063425523966016,0.8362522794140907,5.451612903225806,0.25097628380273107
"prior",4,1,42.56453028887145,1.3030428056390686,3.903225806451613,0.22009563130209497
"optimal",4,1,10.87527370311964,0.6827698651867679,6.137096774193548,0.25868970134380564
"prior",10,1,23.409789802512584,0.7845594997854604,5.120967741935484,0.22457020813380252
"optimal",10,1,6.764368649562234,0.47004284053315193,7.161290322580645,0.19513728440722594
"prior",20,1,15.301577847329613,0.7277592171659402,6.112903225806452,0.22822410360422635
"optimal",20,1,5.078406689758545,0.33312523046251513,7.653225806451613,0.16556587229737943
"prior",40,1,9.853833449029455,0.45393619780199385,7.088709677419355,0.18781812658047553
"optimal",40,1,3.57846236886562,0.21327966368621462,7.508064516129032,0.19110016203680327
"prior",100,1,5.049545387778374,0.3151410926090261,7.298387096774194,0.17176054129051552
"optimal",100,1,1.9815351940445045,0.1949573182125279,7.354838709677419,0.18577583379753757
"prior",200,1,3.723562815565316,0.27470500167806444,7.25,0.1446778528006428
"optimal",200,1,1.489982703583522,0.13109836348448753,7.475806451612903,0.15968748560937335
"prior",400,1,2.49594931775386,0.2448405741201459,7.588709677419355,0.1803383249822622
"optimal",400,1,1.0004380242982664,0.14265990500774914,7.467741935483871,0.17866666906577744
"prior",1,2,133.52625239926894,5.629392177603114,4.661290322580645,0.20576757745469848
"optimal",1,2,15.123241876104416,0.7075057283041053,5.870967741935484,0.23689566697860776
"prior",2,2,73.56060415036652,2.7934183867664366,4.709677419354839,0.22227579590478838
"optimal",2,2,11.488082488810809,0.6398077430405488,6.57258064516129,0.23500768274454498
"prior",4,2,40.84569673811854,1.1483863331900834,5.508064516129032,0.24305079926441406
"optimal",4,2,8.095170410811743,0.49386146175454837,6.709677419354839,0.20731893934369247
"prior",10,2,21.096382174340864,0.8886573920882672,6.266129032258065,0.22059835391208252
"optimal",10,2,4.758106036492818,0.33980913781464955,7.620967741935484,0.14646491885147048
"prior",20,2,13.053558036526157,0.6351246304060307,7.0,0.1999868865357365
"optimal",20,2,3.3903730437526836,0.24698200642931,7.290322580645161,0.17091651920348752
"prior",40,2,7.944803740300454,0.46693413509228776,7.330645161290323,0.1945769396503241
"optimal",40,2,2.17677280727823,0.19143151893968216,7.443548387096774,0.17490862301135754
"prior",100,2,4.45700213957299,0.33843206674246556,7.532258064516129,0.1719343841439316
"optimal",100,2,1.2202516090436104,0.15076362627222142,7.370967741935484,0.15297887538691463
"prior",200,2,2.651316576452624,0.2332685844661889,7.758064516129032,0.18227622458376125
"optimal",200,2,0.9365646629118706,0.10085308320034543,7.564516129032258,0.17785988272075648
"prior",400,2,1.9073606217977788,0.16936045641953482,7.524193548387097,0.1700278859271115
"optimal",400,2,0.5220865808677543,0.0824692858920813,7.387096774193548,0.16543328475433794
"prior",1,4,149.76619858249862,5.10513144911998,6.096774193548387,0.20143054958118375
"optimal",1,4,13.112113655984384,0.7526778298818154,6.67741935483871,0.1712132494949478
"prior",2,4,83.96230354133615,3.087445154608555,5.75,0.2040839909785221
"optimal",2,4,8.451430510379124,0.42015239609659977,7.145161290322581,0.18875186977469405
"prior",4,4,43.468202529664474,1.4442317560049829,6.403225806451613,0.2340980747058815
"optimal",4,4,6.163268826355459,0.3683660222502168,7.233870967741935,0.16399998999241253
"prior",10,4,20.225813419928933,0.8116986545393445,7.112903225806452,0.2061885699692472
"optimal",10,4,3.7418822070979703,0.23807139288320228,7.306451612903226,0.15708523052953288
"prior",20,4,11.191890989897907,0.6532696220437931,7.612903225806452,0.1831155314330283
"optimal",20,4,1.9536541321249952,0.19323582852493895,7.42741935483871,0.15997860264442137
"prior",40,4,6.910780915464553,0.39866421056046897,7.419354838709677,0.18000523573757074
"optimal",40,4,0.981719561764224,0.14322849978302232,7.830645161290323,0.17618571899699437
"prior",100,4,3.7045976340247666,0.22505423450463743,7.435483870967742,0.1691689687251381
"optimal",100,4,0.7116334061137712,0.09656195897991444,7.637096774193548,0.17074783347274222
"prior",200,4,1.9474515723283112,0.15643020502504731,7.209677419354839,0.1546016740607791
"optimal",200,4,0.4231210190490477,0.07564270068540246,7.57258064516129,0.17410871796746905
"prior",400,4,0.9778083792915998,0.1170711350463977,7.588709677419355,0.17215412832417065
"optimal",400,4,0.37139762167769363,0.055642503125289,7.951612903225806,0.17808567626850624
